country_code,country,year,life_expectancy
ALB,Albania,2007,72
ALB,Albania,2008,71
ALB,Albania,2009,72
ALB,Albania,2010,76.63
ALB,Albania,2011,76.75
ALB,Albania,2012,76.9
ALB,Albania,2013,77.04
ALB,Albania,2014,77.35
ALB,Albania,2015,77.54
ALB,Albania,2016,77.83
ALB,Albania,2017,78.01
DZA,Algeria,2007,71
DZA,Algeria,2008,71
DZA,Algeria,2009,71
DZA,Algeria,2010,72.39
DZA,Algeria,2011,72.62
DZA,Algeria,2012,72.85
DZA,Algeria,2013,73.08
DZA,Algeria,2014,70.88
DZA,Algeria,2015,71.01
DZA,Algeria,2016,74.81
DZA,Algeria,2017,75.04
AGO,Angola,2010,47.04
AGO,Angola,2011,47.55
AGO,Angola,2013,51.06
AGO,Angola,2014,51.46
ARG,Argentina,2007,75
ARG,Argentina,2008,75
ARG,Argentina,2009,75
ARG,Argentina,2010,75.33
ARG,Argentina,2011,75.52
ARG,Argentina,2012,75.63
ARG,Argentina,2013,75.8
ARG,Argentina,2014,76.01
ARG,Argentina,2015,76.19
ARG,Argentina,2016,76.16
ARG,Argentina,2017,76.33
ARM,Armenia,2007,68
ARM,Armenia,2008,69
ARM,Armenia,2009,69
ARM,Armenia,2010,73.54
ARM,Armenia,2011,73.73
ARM,Armenia,2012,73.78
ARM,Armenia,2013,73.92
ARM,Armenia,2014,74.44
ARM,Armenia,2015,74.54
ARM,Armenia,2016,74.68
ARM,Armenia,2017,74.8
AUS,Australia,2007,81
AUS,Australia,2008,82
AUS,Australia,2009,82
AUS,Australia,2010,81.4
AUS,Australia,2011,81.54
AUS,Australia,2012,81.7
AUS,Australia,2013,81.85
AUS,Australia,2014,82.1
AUS,Australia,2015,82.2
AUS,Australia,2016,82.25
AUS,Australia,2017,82.45
AUT,Austria,2007,79
AUT,Austria,2008,80
AUT,Austria,2009,80
AUT,Austria,2010,80.45
AUT,Austria,2011,80.08
AUT,Austria,2012,80.38
AUT,Austria,2013,81.03
AUT,Austria,2014,80.94
AUT,Austria,2015,80.89
AUT,Austria,2016,81.34
AUT,Austria,2017,81.84
AZE,Azerbaijan,2007,65
AZE,Azerbaijan,2008,64
AZE,Azerbaijan,2009,68
AZE,Azerbaijan,2010,70.18
AZE,Azerbaijan,2011,70.44
AZE,Azerbaijan,2012,70.51
AZE,Azerbaijan,2013,70.65
AZE,Azerbaijan,2014,70.62
AZE,Azerbaijan,2015,70.69
AZE,Azerbaijan,2016,70.76
AZE,Azerbaijan,2017,70.85
BHR,Bahrain,2007,74
BHR,Bahrain,2008,75
BHR,Bahrain,2009,75
BHR,Bahrain,2010,75.91
BHR,Bahrain,2011,76.08
BHR,Bahrain,2012,75.02
BHR,Bahrain,2013,75.16
BHR,Bahrain,2014,76.54
BHR,Bahrain,2015,76.67
BHR,Bahrain,2016,76.68
BHR,Bahrain,2017,76.82
BGD,Bangladesh,2007,62
BGD,Bangladesh,2008,63
BGD,Bangladesh,2009,64
BGD,Bangladesh,2010,66.14
BGD,Bangladesh,2011,66.56
BGD,Bangladesh,2012,68.63
BGD,Bangladesh,2013,68.94
BGD,Bangladesh,2014,70.29
BGD,Bangladesh,2015,70.69
BGD,Bangladesh,2016,71.63
BGD,Bangladesh,2017,72
BRB,Barbados,2007,75
BRB,Barbados,2008,75
BRB,Barbados,2009,76
BRB,Barbados,2010,77.01
BRB,Barbados,2011,77.24
BRB,Barbados,2012,76.57
BRB,Barbados,2013,76.74
BRB,Barbados,2014,75.13
BRB,Barbados,2016,75.5
BEL,Belgium,2007,78
BEL,Belgium,2008,79
BEL,Belgium,2009,80
BEL,Belgium,2010,80.11
BEL,Belgium,2011,80.63
BEL,Belgium,2012,79.94
BEL,Belgium,2013,80.49
BEL,Belgium,2014,80.39
BEL,Belgium,2015,80.39
BEL,Belgium,2016,80.59
BEL,Belgium,2017,81.29
BLZ,Belize,2011,76.59
BEN,Benin,2007,53
BEN,Benin,2008,55
BEN,Benin,2009,57
BEN,Benin,2010,61.38
BEN,Benin,2011,61.81
BEN,Benin,2012,55.59
BEN,Benin,2013,56.01
BEN,Benin,2015,59.29
BEN,Benin,2016,59.51
BEN,Benin,2017,59.72
BTN,Bhutan,2013,67.28
BTN,Bhutan,2014,67.89
BTN,Bhutan,2015,68.3
BTN,Bhutan,2016,69.47
BTN,Bhutan,2017,69.83
BOL,Bolivia,2007,65
BOL,Bolivia,2008,66
BOL,Bolivia,2009,66
BOL,Bolivia,2010,65.68
BOL,Bolivia,2011,66.01
BOL,Bolivia,2012,66.27
BOL,Bolivia,2013,66.58
BOL,Bolivia,2014,66.93
BOL,Bolivia,2015,67.22
BOL,Bolivia,2016,68.34
BIH,Bosnia and Herzegovina,2007,73
BIH,Bosnia and Herzegovina,2008,75
BIH,Bosnia and Herzegovina,2009,75
BIH,Bosnia and Herzegovina,2010,75.11
BIH,Bosnia and Herzegovina,2011,75.25
BIH,Bosnia and Herzegovina,2012,75.4
BIH,Bosnia and Herzegovina,2013,75.55
BIH,Bosnia and Herzegovina,2015,76.28
BIH,Bosnia and Herzegovina,2016,76.43
BIH,Bosnia and Herzegovina,2017,76.59
BWA,Botswana,2007,40
BWA,Botswana,2008,52
BWA,Botswana,2009,56
BWA,Botswana,2010,54.24
BWA,Botswana,2011,54.95
BWA,Botswana,2012,53.11
BWA,Botswana,2013,53.02
BWA,Botswana,2014,46.99
BWA,Botswana,2015,47.41
BWA,Botswana,2016,64.43
BWA,Botswana,2017,64.49
BRA,Brazil,2007,70
BRA,Brazil,2008,72
BRA,Brazil,2009,73
BRA,Brazil,2010,72.4
BRA,Brazil,2011,72.64
BRA,Brazil,2012,73.1
BRA,Brazil,2013,73.44
BRA,Brazil,2014,73.62
BRA,Brazil,2015,73.89
BRA,Brazil,2016,74.4
BRA,Brazil,2017,74.68
BRN,Brunei Darussalam,2008,77
BRN,Brunei Darussalam,2009,76
BRN,Brunei Darussalam,2010,77.36
BRN,Brunei Darussalam,2011,77.51
BRN,Brunei Darussalam,2012,77.93
BRN,Brunei Darussalam,2013,78.07
BRN,Brunei Darussalam,2016,78.81
BRN,Brunei Darussalam,2017,79.04
BGR,Bulgaria,2007,72
BGR,Bulgaria,2008,73
BGR,Bulgaria,2009,73
BGR,Bulgaria,2010,73.32
BGR,Bulgaria,2011,73.41
BGR,Bulgaria,2012,73.51
BGR,Bulgaria,2013,74.16
BGR,Bulgaria,2014,74.31
BGR,Bulgaria,2015,74.47
BGR,Bulgaria,2016,75.41
BGR,Bulgaria,2017,74.47
BFA,Burkina Faso,2007,48
BFA,Burkina Faso,2008,47
BFA,Burkina Faso,2009,49
BFA,Burkina Faso,2010,52.99
BFA,Burkina Faso,2011,53.31
BFA,Burkina Faso,2012,54.92
BFA,Burkina Faso,2013,55.36
BFA,Burkina Faso,2014,55.86
BDI,Burundi,2007,45
BDI,Burundi,2008,49
BDI,Burundi,2009,49
BDI,Burundi,2010,50.43
BDI,Burundi,2011,50.87
BDI,Burundi,2012,49.88
BDI,Burundi,2013,50.34
BDI,Burundi,2014,53.63
BDI,Burundi,2015,54.1
BDI,Burundi,2016,56.69
BDI,Burundi,2017,57.11
CPV,Cabo Verde,2010,71.04
CPV,Cabo Verde,2011,71.31
CPV,Cabo Verde,2012,73.77
CPV,Cabo Verde,2013,73.92
CPV,Cabo Verde,2014,74.54
CPV,Cabo Verde,2015,74.87
CPV,Cabo Verde,2016,73.15
CPV,Cabo Verde,2017,73.36
KHM,Cambodia,2007,54
KHM,Cambodia,2008,62
KHM,Cambodia,2009,61
KHM,Cambodia,2010,60.97
KHM,Cambodia,2011,61.5
KHM,Cambodia,2012,62.54
KHM,Cambodia,2013,62.98
KHM,Cambodia,2014,71.41
KHM,Cambodia,2015,71.75
KHM,Cambodia,2016,68.21
KHM,Cambodia,2017,68.66
CMR,Cameroon,2007,50
CMR,Cameroon,2008,51
CMR,Cameroon,2009,52
CMR,Cameroon,2010,51.06
CMR,Cameroon,2011,51.36
CMR,Cameroon,2012,51.06
CMR,Cameroon,2013,51.58
CMR,Cameroon,2014,54.59
CMR,Cameroon,2015,55.04
CMR,Cameroon,2016,55.49
CMR,Cameroon,2017,55.93
CAN,Canada,2007,80
CAN,Canada,2008,81
CAN,Canada,2009,81
CAN,Canada,2010,80.96
CAN,Canada,2011,81.22
CAN,Canada,2012,80.8
CAN,Canada,2013,80.93
CAN,Canada,2014,81.24
CAN,Canada,2015,81.4
CAN,Canada,2016,81.96
CAN,Canada,2017,82.14
TCD,Chad,2007,46
TCD,Chad,2008,46
TCD,Chad,2009,46
TCD,Chad,2010,48.73
TCD,Chad,2011,48.93
TCD,Chad,2012,49.19
TCD,Chad,2013,49.52
TCD,Chad,2014,50.7
TCD,Chad,2015,51.16
TCD,Chad,2016,51.56
TCD,Chad,2017,51.87
CHL,Chile,2007,77
CHL,Chile,2008,78
CHL,Chile,2009,78
CHL,Chile,2010,78.61
CHL,Chile,2011,78.73
CHL,Chile,2012,78.89
CHL,Chile,2013,79.02
CHL,Chile,2014,79.57
CHL,Chile,2015,79.84
CHL,Chile,2016,81.5
CHL,Chile,2017,81.79
CHN,China,2007,72
CHN,China,2008,73
CHN,China,2009,74
CHN,China,2010,73.12
CHN,China,2011,73.31
CHN,China,2012,73.27
CHN,China,2013,73.49
CHN,China,2014,75.2
CHN,China,2015,75.35
CHN,China,2016,75.78
CHN,China,2017,75.99
COL,Colombia,2007,73
COL,Colombia,2008,74
COL,Colombia,2009,75
COL,Colombia,2010,72.98
COL,Colombia,2011,73.21
COL,Colombia,2012,73.43
COL,Colombia,2013,73.64
COL,Colombia,2014,73.78
COL,Colombia,2015,73.98
COL,Colombia,2016,73.99
COL,Colombia,2017,74.18
COD,"Congo, Dem. Rep.",2016,58.66
COD,"Congo, Dem. Rep.",2017,59.02
CRI,Costa Rica,2007,77
CRI,Costa Rica,2008,78
CRI,Costa Rica,2009,79
CRI,Costa Rica,2010,78.92
CRI,Costa Rica,2011,79.04
CRI,Costa Rica,2012,79.19
CRI,Costa Rica,2013,79.32
CRI,Costa Rica,2014,79.71
CRI,Costa Rica,2015,79.92
CRI,Costa Rica,2016,79.4
CRI,Costa Rica,2017,79.59
CIV,Cote d'Ivoire,2008,53
CIV,Cote d'Ivoire,2009,54
CIV,Cote d'Ivoire,2010,57.44
CIV,Cote d'Ivoire,2011,57.95
CIV,Cote d'Ivoire,2012,54.74
CIV,Cote d'Ivoire,2013,55.42
CIV,Cote d'Ivoire,2014,50.4
CIV,Cote d'Ivoire,2015,50.76
CIV,Cote d'Ivoire,2016,51.56
HRV,Croatia,2007,75
HRV,Croatia,2008,76
HRV,Croatia,2009,76
HRV,Croatia,2010,75.91
HRV,Croatia,2011,76.14
HRV,Croatia,2012,76.48
HRV,Croatia,2013,76.88
HRV,Croatia,2014,76.92
HRV,Croatia,2015,77.13
HRV,Croatia,2016,77.33
HRV,Croatia,2017,77.28
CYP,Cyprus,2007,79
CYP,Cyprus,2008,80
CYP,Cyprus,2009,80
CYP,Cyprus,2010,79.66
CYP,Cyprus,2011,79.77
CYP,Cyprus,2012,79.38
CYP,Cyprus,2013,79.56
CYP,Cyprus,2014,79.64
CYP,Cyprus,2015,79.8
CYP,Cyprus,2016,80.13
CYP,Cyprus,2017,80.31
CZE,Czechia,2007,76
CZE,Czechia,2008,77
CZE,Czechia,2009,77
CZE,Czechia,2010,77.21
CZE,Czechia,2011,77.08
CZE,Czechia,2012,77.42
CZE,Czechia,2013,77.87
CZE,Czechia,2014,78.08
CZE,Czechia,2015,78.28
CZE,Czechia,2016,78.28
CZE,Czechia,2017,79.47
DNK,Denmark,2007,78
DNK,Denmark,2008,79
DNK,Denmark,2009,78
DNK,Denmark,2010,78.7
DNK,Denmark,2011,78.6
DNK,Denmark,2012,79.1
DNK,Denmark,2013,79.8
DNK,Denmark,2014,80.05
DNK,Denmark,2015,80.3
DNK,Denmark,2016,80.55
DNK,Denmark,2017,81.1
DOM,Dominican Republic,2007,67
DOM,Dominican Republic,2008,70
DOM,Dominican Republic,2009,72
DOM,Dominican Republic,2010,72.57
DOM,Dominican Republic,2011,72.71
DOM,Dominican Republic,2012,73.2
DOM,Dominican Republic,2013,73.44
DOM,Dominican Republic,2014,73.23
DOM,Dominican Republic,2015,73.45
DOM,Dominican Republic,2016,73.5
DOM,Dominican Republic,2017,73.68
ECU,Ecuador,2007,72
ECU,Ecuador,2008,73
ECU,Ecuador,2009,73
ECU,Ecuador,2010,75.13
ECU,Ecuador,2011,75.28
ECU,Ecuador,2012,75.46
ECU,Ecuador,2013,75.63
ECU,Ecuador,2015,76.47
ECU,Ecuador,2016,75.87
ECU,Ecuador,2017,76.1
EGY,"Egypt, Arab Rep.",2007,68
EGY,"Egypt, Arab Rep.",2008,68
EGY,"Egypt, Arab Rep.",2009,68
EGY,"Egypt, Arab Rep.",2010,70.14
EGY,"Egypt, Arab Rep.",2011,70.34
EGY,"Egypt, Arab Rep.",2012,72.98
EGY,"Egypt, Arab Rep.",2013,73.2
EGY,"Egypt, Arab Rep.",2014,70.91
EGY,"Egypt, Arab Rep.",2015,71.13
EGY,"Egypt, Arab Rep.",2016,71.12
EGY,"Egypt, Arab Rep.",2017,71.32
SLV,El Salvador,2007,71
SLV,El Salvador,2008,71
SLV,El Salvador,2009,72
SLV,El Salvador,2010,71.26
SLV,El Salvador,2011,71.46
SLV,El Salvador,2012,71.73
SLV,El Salvador,2013,71.95
SLV,El Salvador,2014,72.1
SLV,El Salvador,2015,72.34
SLV,El Salvador,2016,72.75
SLV,El Salvador,2017,73
EST,Estonia,2007,72
EST,Estonia,2008,73
EST,Estonia,2009,73
EST,Estonia,2010,73.97
EST,Estonia,2011,74.82
EST,Estonia,2012,75.43
EST,Estonia,2013,76.13
EST,Estonia,2014,76.43
EST,Estonia,2015,76.42
EST,Estonia,2016,77.24
EST,Estonia,2017,77.13
SWZ,Eswatini,2010,45.77
SWZ,Eswatini,2011,46.32
SWZ,Eswatini,2012,48.34
SWZ,Eswatini,2013,48.66
SWZ,Eswatini,2014,48.85
SWZ,Eswatini,2015,48.94
SWZ,Eswatini,2017,48.87
ETH,Ethiopia,2007,50
ETH,Ethiopia,2008,56
ETH,Ethiopia,2009,57
ETH,Ethiopia,2010,55.2
ETH,Ethiopia,2011,55.66
ETH,Ethiopia,2012,58.72
ETH,Ethiopia,2013,59.24
ETH,Ethiopia,2014,62.97
ETH,Ethiopia,2015,63.62
ETH,Ethiopia,2016,64.04
ETH,Ethiopia,2017,64.58
FIN,Finland,2007,79
FIN,Finland,2008,79
FIN,Finland,2009,79
FIN,Finland,2010,79.79
FIN,Finland,2011,79.72
FIN,Finland,2012,79.87
FIN,Finland,2013,80.47
FIN,Finland,2014,80.63
FIN,Finland,2015,80.83
FIN,Finland,2016,81.13
FIN,Finland,2017,81.39
FRA,France,2007,80
FRA,France,2008,81
FRA,France,2009,81
FRA,France,2010,81.52
FRA,France,2011,81.07
FRA,France,2012,81.37
FRA,France,2013,81.67
FRA,France,2014,82.57
FRA,France,2015,81.97
FRA,France,2016,82.37
FRA,France,2017,82.67
GAB,Gabon,2012,62.29
GAB,Gabon,2013,62.69
GAB,Gabon,2014,63.07
GAB,Gabon,2015,63.44
GAB,Gabon,2016,64.38
GMB,"Gambia, The",2007,57
GMB,"Gambia, The",2008,59
GMB,"Gambia, The",2009,59
GMB,"Gambia, The",2010,55.93
GMB,"Gambia, The",2011,56.24
GMB,"Gambia, The",2012,58.16
GMB,"Gambia, The",2013,58.48
GMB,"Gambia, The",2014,58.61
GMB,"Gambia, The",2015,58.83
GMB,"Gambia, The",2016,60.23
GMB,"Gambia, The",2017,60.47
GEO,Georgia,2007,74
GEO,Georgia,2008,70
GEO,Georgia,2009,72
GEO,Georgia,2010,71.55
GEO,Georgia,2011,71.68
GEO,Georgia,2012,73.33
GEO,Georgia,2013,73.33
GEO,Georgia,2014,73.94
GEO,Georgia,2015,74.08
GEO,Georgia,2016,74.67
GEO,Georgia,2017,74.82
DEU,Germany,2007,79
DEU,Germany,2008,80
DEU,Germany,2009,80
DEU,Germany,2010,80.09
DEU,Germany,2011,79.94
DEU,Germany,2012,79.99
DEU,Germany,2013,80.74
DEU,Germany,2014,80.89
DEU,Germany,2015,81.04
DEU,Germany,2016,80.84
DEU,Germany,2017,81.09
GHA,Ghana,2008,57
GHA,Ghana,2009,57
GHA,Ghana,2010,56.62
GHA,Ghana,2011,56.82
GHA,Ghana,2012,63.84
GHA,Ghana,2013,64.22
GHA,Ghana,2014,60.95
GHA,Ghana,2015,61.1
GHA,Ghana,2016,61.31
GHA,Ghana,2017,61.49
GRC,Greece,2007,79
GRC,Greece,2008,80
GRC,Greece,2009,80
GRC,Greece,2010,79.96
GRC,Greece,2011,80.19
GRC,Greece,2012,80.39
GRC,Greece,2013,80.74
GRC,Greece,2014,80.63
GRC,Greece,2015,80.63
GRC,Greece,2016,81.29
GRC,Greece,2017,81.59
GTM,Guatemala,2007,68
GTM,Guatemala,2008,68
GTM,Guatemala,2009,69
GTM,Guatemala,2010,70.34
GTM,Guatemala,2011,70.56
GTM,Guatemala,2012,70.83
GTM,Guatemala,2013,71.07
GTM,Guatemala,2014,71.66
GTM,Guatemala,2015,71.99
GTM,Guatemala,2016,71.72
GTM,Guatemala,2017,71.96
GIN,Guinea,2012,53.64
GIN,Guinea,2013,54.09
GIN,Guinea,2014,55.84
GIN,Guinea,2015,56.09
GIN,Guinea,2017,59.19
GUY,Guyana,2007,63
GUY,Guyana,2008,64
GUY,Guyana,2009,60
GUY,Guyana,2010,67.11
GUY,Guyana,2011,67.59
GUY,Guyana,2012,69.55
GUY,Guyana,2013,69.86
GUY,Guyana,2014,66.05
GUY,Guyana,2015,66.21
HTI,Haiti,2011,61.44
HTI,Haiti,2012,61.76
HTI,Haiti,2013,62.06
HTI,Haiti,2014,62.7
HTI,Haiti,2015,63.06
HTI,Haiti,2017,63.07
HND,Honduras,2007,67
HND,Honduras,2008,70
HND,Honduras,2009,71
HND,Honduras,2010,72.2
HND,Honduras,2011,72.41
HND,Honduras,2012,72.83
HND,Honduras,2013,73.11
HND,Honduras,2014,73.49
HND,Honduras,2015,73.8
HND,Honduras,2016,73.14
HND,Honduras,2017,73.33
HKG,"Hong Kong SAR, China",2007,82
HKG,"Hong Kong SAR, China",2008,81.9
HKG,"Hong Kong SAR, China",2009,82.28
HKG,"Hong Kong SAR, China",2010,82.34
HKG,"Hong Kong SAR, China",2011,82.72
HKG,"Hong Kong SAR, China",2012,82.88
HKG,"Hong Kong SAR, China",2013,83.42
HKG,"Hong Kong SAR, China",2014,83.48
HKG,"Hong Kong SAR, China",2015,83.83
HKG,"Hong Kong SAR, China",2016,83.98
HKG,"Hong Kong SAR, China",2017,84.28
HUN,Hungary,2007,73
HUN,Hungary,2008,73
HUN,Hungary,2009,73
HUN,Hungary,2010,74.01
HUN,Hungary,2011,73.9
HUN,Hungary,2012,74.21
HUN,Hungary,2013,74.86
HUN,Hungary,2014,75.06
HUN,Hungary,2015,75.27
HUN,Hungary,2016,75.87
HUN,Hungary,2017,75.96
ISL,Iceland,2007,81
ISL,Iceland,2008,81
ISL,Iceland,2009,82
ISL,Iceland,2010,81.58
ISL,Iceland,2011,81.46
ISL,Iceland,2012,81.45
ISL,Iceland,2013,82.36
ISL,Iceland,2014,82.92
ISL,Iceland,2015,83.12
ISL,Iceland,2016,82.06
ISL,Iceland,2017,82.86
IND,India,2007,62
IND,India,2008,63
IND,India,2009,64
IND,India,2010,63.72
IND,India,2011,64.05
IND,India,2012,65.13
IND,India,2013,65.48
IND,India,2014,66.21
IND,India,2015,66.46
IND,India,2016,68.01
IND,India,2017,68.35
IDN,Indonesia,2007,67
IDN,Indonesia,2008,68
IDN,Indonesia,2009,68
IDN,Indonesia,2010,70.79
IDN,Indonesia,2011,71.18
IDN,Indonesia,2012,68.89
IDN,Indonesia,2013,69.32
IDN,Indonesia,2014,70.61
IDN,Indonesia,2015,70.82
IDN,Indonesia,2016,68.89
IDN,Indonesia,2017,69.07
IRN,"Iran, Islamic Rep.",2010,71.44
IRN,"Iran, Islamic Rep.",2011,71.69
IRN,"Iran, Islamic Rep.",2012,72.75
IRN,"Iran, Islamic Rep.",2013,73
IRN,"Iran, Islamic Rep.",2014,73.76
IRN,"Iran, Islamic Rep.",2015,74.07
IRN,"Iran, Islamic Rep.",2016,75.39
IRN,"Iran, Islamic Rep.",2017,75.59
IRL,Ireland,2007,78
IRL,Ireland,2008,80
IRL,Ireland,2009,80
IRL,Ireland,2010,79.86
IRL,Ireland,2011,79.5
IRL,Ireland,2012,80.29
IRL,Ireland,2013,80.5
IRL,Ireland,2014,80.9
IRL,Ireland,2015,81.04
IRL,Ireland,2016,81.15
IRL,Ireland,2017,81.5
ISR,Israel,2007,80
ISR,Israel,2008,81
ISR,Israel,2009,81
ISR,Israel,2010,81
ISR,Israel,2011,81.55
ISR,Israel,2012,81.5
ISR,Israel,2013,81.76
ISR,Israel,2014,81.7
ISR,Israel,2015,82.06
ISR,Israel,2016,82.15
ISR,Israel,2017,82.05
ITA,Italy,2007,81
ITA,Italy,2008,81
ITA,Italy,2009,82
ITA,Italy,2010,81.95
ITA,Italy,2011,81.44
ITA,Italy,2012,81.74
ITA,Italy,2013,82.09
ITA,Italy,2014,82.94
ITA,Italy,2015,82.29
ITA,Italy,2016,82.69
ITA,Italy,2017,83.49
JAM,Jamaica,2007,72
JAM,Jamaica,2008,72
JAM,Jamaica,2009,72
JAM,Jamaica,2010,71.84
JAM,Jamaica,2011,72.06
JAM,Jamaica,2012,72.85
JAM,Jamaica,2013,73.08
JAM,Jamaica,2014,73.28
JAM,Jamaica,2015,73.47
JAM,Jamaica,2016,75.65
JAM,Jamaica,2017,75.8
JPN,Japan,2007,82
JPN,Japan,2008,83
JPN,Japan,2009,83
JPN,Japan,2010,82.59
JPN,Japan,2011,82.93
JPN,Japan,2012,82.93
JPN,Japan,2013,82.59
JPN,Japan,2014,83.1
JPN,Japan,2015,83.33
JPN,Japan,2016,83.59
JPN,Japan,2017,83.84
JOR,Jordan,2007,71
JOR,Jordan,2008,71
JOR,Jordan,2009,72
JOR,Jordan,2010,72.71
JOR,Jordan,2011,72.94
JOR,Jordan,2012,73.29
JOR,Jordan,2013,73.43
JOR,Jordan,2014,73.75
JOR,Jordan,2015,73.9
JOR,Jordan,2016,74.05
JOR,Jordan,2017,74.2
KAZ,Kazakhstan,2007,61
KAZ,Kazakhstan,2008,64
KAZ,Kazakhstan,2009,64
KAZ,Kazakhstan,2010,66.44
KAZ,Kazakhstan,2011,68.43
KAZ,Kazakhstan,2012,68.3
KAZ,Kazakhstan,2013,68.89
KAZ,Kazakhstan,2014,69.61
KAZ,Kazakhstan,2015,70.45
KAZ,Kazakhstan,2016,71.62
KAZ,Kazakhstan,2017,72
KEN,Kenya,2007,51
KEN,Kenya,2008,53
KEN,Kenya,2009,54
KEN,Kenya,2010,54.24
KEN,Kenya,2011,54.89
KEN,Kenya,2012,56.5
KEN,Kenya,2013,57.08
KEN,Kenya,2014,61.08
KEN,Kenya,2015,61.68
KEN,Kenya,2016,61.58
KEN,Kenya,2017,62.13
KOR,"Korea, Rep.",2007,77
KOR,"Korea, Rep.",2008,79
KOR,"Korea, Rep.",2009,79
KOR,"Korea, Rep.",2010,79.83
KOR,"Korea, Rep.",2011,80.28
KOR,"Korea, Rep.",2012,80.76
KOR,"Korea, Rep.",2013,80.87
KOR,"Korea, Rep.",2014,81.37
KOR,"Korea, Rep.",2015,81.46
KOR,"Korea, Rep.",2016,82.16
KOR,"Korea, Rep.",2017,82.16
KWT,Kuwait,2007,77
KWT,Kuwait,2008,78
KWT,Kuwait,2009,78
KWT,Kuwait,2010,77.97
KWT,Kuwait,2011,78.1
KWT,Kuwait,2012,74.6
KWT,Kuwait,2013,74.73
KWT,Kuwait,2014,74.36
KWT,Kuwait,2015,74.46
KWT,Kuwait,2016,74.59
KWT,Kuwait,2017,74.7
KGZ,Kyrgyz Republic,2007,63
KGZ,Kyrgyz Republic,2008,66
KGZ,Kyrgyz Republic,2009,66
KGZ,Kyrgyz Republic,2010,67.37
KGZ,Kyrgyz Republic,2011,67.14
KGZ,Kyrgyz Republic,2012,69.37
KGZ,Kyrgyz Republic,2013,69.6
KGZ,Kyrgyz Republic,2014,70
KGZ,Kyrgyz Republic,2015,70.2
KGZ,Kyrgyz Republic,2016,70.4
KGZ,Kyrgyz Republic,2017,70.65
LAO,Lao PDR,2013,67.43
LAO,Lao PDR,2014,67.81
LAO,Lao PDR,2015,68.25
LAO,Lao PDR,2016,66.12
LAO,Lao PDR,2017,66.54
LVA,Latvia,2007,71
LVA,Latvia,2008,71
LVA,Latvia,2009,71
LVA,Latvia,2010,72.24
LVA,Latvia,2011,73.08
LVA,Latvia,2012,73.48
LVA,Latvia,2013,73.58
LVA,Latvia,2014,73.78
LVA,Latvia,2015,73.98
LVA,Latvia,2016,74.19
LVA,Latvia,2017,74.12
LBN,Lebanon,2010,72.05
LBN,Lebanon,2011,72.23
LBN,Lebanon,2012,72.41
LBN,Lebanon,2013,72.59
